"b118782319","974.723 F","Brooklyn Heights :","ocn905520755",,"162619954X";"9781626199545 :",
"b11878240x","784.206 E","History of the Brooklyn Philharmonic :","ocn914168414",,,
"b118782411","023 C","Statistical revision of the Report of the Citizens' committee on the status of librarians of the public libraries of the city of New York.","ocm11801124",,,
"b118782423","027 B","By-laws of the Brooklyn Public Library, as adopted June 4, 1903 and amended to February 16, 1965.","ocm31601952",,,
"b11878268x","355.75 C","Army Supply Base, Brooklyn, New York, completion report /","ocm33067156",,,
"b118782976","DVD 307.336 D","The domino effect","ocn811336216",,,
"b118783221","373.7472 B","The Berkeleydian.","ocn914188926",,,
"b118783294","373.7472 B","The Loughlinite.","ocm50318777",,,
"b118783658","373.7472 A","The Academy for Environmental Leadership.","ocn914232354",,,
"b118783683","373.7472 S","Parmentier.","ocn914232382",,,
"b118783701","373.7472 A","Landmark.","ocn914232586",,,
"b118783804","378.74723 K","Odyssey.","ocm19248583",,,
"b118791722","DVD 373.74723 B","Bishop Ford Central Catholic High School video yearbook.","ocn914286886",,,
"b118792027","VIDEO 373.74723 B","Bishop Ford Central Catholic High School video yearbook.","ocn914301452",,,
"b118793780","641.5929 T","Asian-American :","ocn900032023","2015021783","9781455585267 (hardback)";"1455585262 (hardback)",
"b118795946","709.0512 C","Come together :","ocn900628247",,"9788857225029 :";"885722502X",
"b118797190","305.5097 T","Tales of two cities :","ocn900623608","2015022446","9780143128304 (paperback)";"0143128302 (paperback)",
"b118845664","813 C","Brooklyn :","ocn911920674","2015017904","1936941112 (hardback)";"9781936941117 (hardback)",
"b118846668","391.00974723 S","Brooklyn street style :","ocn917370931","2014959314","9781419717956";"1419717952",
"b11884667x","641.59747 T","The up South cookbook :","ocn907103985","2015018282","9781581573015 (hardcover)";"1581573014 (hardcover)",
"b118846681","364.1523 M","The Three Graces of Raymond Street :","ocn890462529","2014015550","1438455623";"9781438455624";,
"b11884670x","796.35764 K",""Our bums" :","ocn895338274","2015028978","9780786477999";"0786477997",
"b118846711","813.0932 P","Brooklyn fictions :","ocn894640623",,"1441132538";"9781441132536",
"b118846723","796.35764 M",""Tearin' up the pea patch" :","ocn890510431",,"0786496207";"9780786496204",
"b118847053","974.723 K","Made in Brooklyn :","ocn900594374",,"1576877604";"9781576877609 :",
"b118847296","974.723 A","Gowanus :","ocn906010865","2015013951","9781479892945";"9781479806058",
"b118848458","641.5973 O","Battersby :","ocn907096770","2015025974","9781455553327 (hardback)";"1455553328 (hardback)",
"b118894390","FIC MCCARTHY","Wilhelmina :","ocn903634462",,"0692227954 :";"9780692227954",
"b118896787","973 O","Writings on landscape, culture, and society /","ocn904967966",,"1598534521 (hardback)";"9781598534528 (hardback)",
"b11891232x","364.1323 V","Crooked Brooklyn :","2015029773","2015029773","9781250065186 :";"1250065186 :",
"b11906229x","B KEELER S","Willie Keeler :","ocn892878810","2014036336","9781442246539";"1442246537",
"b119062306","B LELCHUK B","Breaking ground :","ocn908687048",,"9781942134077 (paperback)";"194213407X (paperback)",
"b119116091","373.74723 S","Thabor /","ocn320894298",,,
"b119116108","920 S 892","Saints, sinners and Beechers /","ocm01998461","34007761",,
"b11911611x","B M 257","Tributes to the life, character and services of Dr. Edward Malone and some of his letters and addresses on public questions.","ocn930367408",,,
"b119116121","929 E21","Genealogy of the Eddy family /","ocm08657079",,,
"b119116133","929 B91","Genealogy, Brush-Bowers /","ocm19089384","31009477",,
"b119116145","779.9974 Z","Block party :","ocn910106966",,"9780578137704 :";"0578137704 :",
"b119119961","704.0396 D","Diaspora diaries :","ocn927414709",,"9780615293929 :";"0615293921",
"b119120185","364.10609 C","Murder Inc. :","ocn876672629",,"1939521270 (pbk.) :";"9781939521279 (pbk.) :",
"b119120203","974.723 T","Through our eyes :","ocn930379726",,"9781512133271";"1512133272",
"b119120884","779.9974 M","Coney Island states of mind /","ocn930389361",,,
"b119120975","332.21 R","The last bank standing :","ocn930392769",,"9781495131998";"1495131998",
"b119121050","929.2 B329 V","The family of Mary Peck Bates (Voorhis) /","ocm20503950",,,
"b119186342","974.901 V","Prospect Park /","ocn885224827","2014933315","9781467122375 (pbk.)";"1467122378 (pbk.)",
"b119186470","974.71 P","Floyd Bennett Field /","ocn908914826",,"1467133671 (paperback) :";"9781467133678 (paperback) :",
"b119188284","DVD","Black mass","ocn933728185",,"6316294247 :";"9786316294241 :",
"b119193097","641.874 S","Sunny's nights :","2015019985","2015019985","9781400067275 :";"1400067278 :",
"b11921832x","B OL' DIRTY BASTARD M","The Dirty version :","ocn878117308","2014011086","9780062231413";"0062231413";"9780062231451";"0062231456",
"b119218367","641.874 S","Brooklyn bar bites :","ocn915120254","2015958265","0847848256";"9780847848256",
"b119242035","778 H","Gowanus waters /","ocn911594162","2015955316","9781576877920  (hardcover) :";"1576877922 (hardcover)",
"b119242904","779.4747 M","Store front II :","ocn914219816","2015947724","1584236043";"9781584236047",
"b119257063","363.5809 A","Affordable housing in New York :","ocn904755873","2015003568","9780691167817";"0691167818",
"b119268383","635.9671 P","The farm on the roof :","ocn939245011","2016006429","9781592409488 (print)";"1592409482 (print)",
"b119306682","DVD","Brooklyn (DVD)","ocn938693639","938693639",,
"b119325111","974.71 H","The historical atlas of New York City :","ocn925498026",,"9781250098061";"1250098068";,
"b119326152","663.5 S","Dead distillers :","ocn921864149",,"141972021X";"9781419720215",
"b119339936","641.874 J","Brooklyn bartender :","2015050472","2015050472","9780316390255 :";"0316390259 :",
"b11934645x","026.974 B","50 specialty libraries of New York City :","ocn939390427",,"9780081005545";"0081005547",
"b119346461","551.480974 K","Hidden waters of New York City :","ocn929863403","2015041163","9781581573558";"1581573553",
"b119346473","B SCHWAB F","From the streets of Brooklyn to the black tower of Hollywood :","ocn951131820",,"1682225526";"9781682225523",
"b119368407","747.0974 H","Brooklyn interiors /","ocn915120359","2015953474","9780847847457 :";"0847847454",
"b119372472","DVD B ROBINSON J","Jackie Robinson /","ocn941834710",,"9781627896184";"162789618X";,
"b119386963","388.3472 F","The cycling city :","ocn904756000","2015007469","022621091X";"9780226210919",
"b119386987","974.7104 N","New York street kids :","ocm04592907","78057823","0486236927";"9780486236926",
"b119386999","362.734 W","Extra! Extra! :","ocn466400213","2009932586","9780615297552";"0615297552";"9780615309309";"0615309305",
"b119387013","917.471 K57","The Olden time in New York /","ocm13006298","85167138",,
"b119387104","705 B","Breuckelen art & culture.","ocn946739732",,,
"b119387116","FIC MANBECK","Brooklyn bank heist :","ocn939553610",,"1517342309";"9781517342302",
"b119387153","917.471 K53P","King's photographic views of New York :","ocm02276525","01014692",,
"b119408065","641.6609 H","Famous Nathan :","ocn919857709","2016001605","9781250074546";"1250074541";"9781250074553",
"b119411453","B ROBINSON P","Jackie Robinson in quotes :","ocn919105876",,"9781624142444";"1624142443",
"b119411507","917.472 B87 HB","Blue book of Brooklyn.","ocm20142675",,,
"b119411520","Mu 781.6296 V","Kandelab :","ocn936070403",,"9780692460924 :";"0692460926",
"b119412627","282.7472 S","St. Stanislaus Kostka :","ocn947967910",,,
"b119412640","Mu 781.6296 V","Kandelab :","ocn851086085",,"9780615825120 :";"0615825125",
"b119412688","974.723 B","Brooklyn Bridge Park Project :","ocn948006954",,,
"b11941269x","929.4 O58 B","Bibliography of names of persons & places /","ocn948013899",,,
"b119412718","929 D582","The genealogy of the Dimond or Dimon family, of Fairfield, Conn. :","ocm11145003","09008526",,
"b119412822","385.09747 M182 S","A study of Metropolitan New York transportation /","ocn505750894",,,
"b11941286x","379.1 N56 MA","Mayor O'Dwyer's report on the financing, activities and progress of New York City's public school system since January 1st, 1946.","ocm45055596",,,
"b119412937","373.7471 B","Senior year book.","ocn948030024",,,
"b119413012","373.7471 M","Triad.","ocn948180656",,,
"b119413036","373.7471 C","Looking glass.","ocn948181410",,,
"b11941305x","373.7471 A","Technician.","ocn948183940",,,
"b119413061","373.7471 S","Canterburian.","ocn948185345",,,
"b11943040x","917.4723 F","Insider Brooklyn :","bl2016023995",,"9780062397430 :";"0062397435 :",
"b119455377","796.357 R","Blackguards and Red Stockings :","ocn939245048","2016005844","9780786499458";"0786499451",
"b119468116","917.4723 F","The Brooklyn experience :","ocn921821848","2015035672","9780813577432";"0813577438";;;,
"b119532797","364.10609 D","The President Street Boys :","ocn928480273",,"1496705475";"9781496705471",
"b119536705","FIC WOODSON","Another Brooklyn :","bl2016026719",,"9780062359988 :";"0062359983 :",
"b119549992","OSOS 0530","Sunset Park Restoration Committee brochure.","ocn960973411",,,
"b119568639","371.0109 L","The bridge to brilliance :","bl2016036408",,"9781101980255 :";"1101980257 :",
"b119573350","362.5561 W","Battle for Bed-Stuy :","ocn926061467","2015036137","9780674545069";"0674545060",
"b119584499","B ROBINSON M","The Jackie Robinson story /","ocm01264205","56004193",,
"b119584517","388.42 K","Building the Independent Subway /","ocm23284857",,"091527650X";"9780915276509",
"b119584529","974.71004 N","The New-York Historical Society presents City of promise :","ocm54217987",,,
"b119584542","974.71004 N","Teaching local history :","ocn477065525",,,
"b11958458x","785.1 B87 B","Brighton Beach Music Hall.","ocm47974029",,,
"b119585157","FIC CIPOLLINI","Lucky.","ocn954047145",,,
"b119585169","277.47 R","Centennial of the Church of the Holy Trinity, 1847-1947 :","ocm39029330",,,
"b119585170","811 W","Africa in Brooklyn :","ocm02065494",,,
"b119585352","711.5 N","Greenpoint :","ocm03448200",,,
"b119585492","307.1216 F","Deghettoization :","ocm03082483","67001909",,
"b119585509","709.2 B","Willie Birch :","ocm34952055","95073239","0961156082";"9780961156084",
"b119585510","305.8924 C","Crown Heights :","ocm45795363",,,
"b119585728","309.262 D","Downtown Brooklyn.","ocm19042561",,,
"b119585844","929.2 V951 F","The family of Ethel Rita Landau (Voorhis) /","ocm39225222",,,
"b119585856","383.143 P","Street car R.P.O. service in Brooklyn and New York City /","ocm05352599","79105105",,
"b119585881","929.3 H73","Records of the Reformed Dutch churches of Hackensack and Schraalenburgh, New Jersey :","ocn475938479",,,
"b11958590x","614 B","Brownsville Health Council.","ocm34277694",,,
"b11958895x","813.0932 P","Brooklyn fictions :","ocn936619808",,"1350003735";"9781350003736",
"b119621010","374.974723 N","New expressions /","ocn956458734",,"0692030921";"9780692030929",
"b119621046","374.974723 N","New expressions 2016 /","ocn956459929",,,
"b11962798x","641.86 K","Butter & Scotch :","ocn938991307","2015955665","9781419722288";"141972228X",
"b119633243","663.4 S294O","Our one hundredth year, 1842-1942.","ocm02319999","43005785",,
"b119633280","797.14 L793","Lloyd's register of American yachts.","ocm02323829","03014412",,"0076-0226"
"b119633322","370.7 B87B","The Bulletin of the Brooklyn Institute of Arts and Sciences.","ocm08659076","17007594",,"0898-0977"
"b119633346","386.86 U58 AC","Coney Island Channel and Rockaway Inlet, New York. :","ocm42463443",,,
"b119633395","332 B872","The Brooklyn Savings Bank :","ocm29280780",,,
"b119633425","917.8 B87G","The Grand Canyon dedication tour :","ocm34985318",,,
"b119633450","818 T","Truth be told :","ocn956786558",,,
"b119633462","917.8 B87","Westward honk! :","ocm23751835",,,
"b119797902","663.309 M","Beer of Broadway fame :","ocn921821462","2015036570","1438461399";"9781438461397";"1438461402";"9781438461403",
"b119797926","351 C582","The New York Civil list.","ocn958999380",,,
"b119798001","974.723 V","Views of Coney Island.","ocm22998970",,,
"b119798062","917.4723 M349 B","Bedford-Stuyvesant place-names /","ocm62308537",,,
"b119798645","336 N563 AS","Land value maps :","ocn959231770",,,
"b119798694","333.3305 B87","Brooklyn realty magazine.","ocm10945163",,,
"b119798700","917.472 B874 CO","Welcome to Brooklyn :","ocm33247014",,,
"b119798773","373.236 S","How far away is yesterday? /","ocn959235561",,,
"b119798797","373.7471 M","M. S. 447.","ocn959236981",,,
"b11980119x","973.332 G","The American Revolution on Long Island /","ocn945745752","2016936011","9781467118286 (paperback) :";"1467118281 (paperback)",
"b119801206","974.7 W","Brooklyn Bridge Park :","ocn941875230","2016016998","0823273571";"9780823273577";"0823284336";"9780823284337",
"b11980122x","917.4723 H","The Brooklyn nobody knows :","ocn949553080","2016013485","9780691166827 (pbk. : alk. paper) :";"069116682X (pbk. : alk. paper)",
"b119801231","974.723 W","A history of Brooklyn Bridge Park :","ocn947953869","2016009008","9780231171229 (cloth : alk. paper) :";"0231171226 (cloth : alk. paper)",
"b119811819","363.20974 W","Undisclosed files of the police :","ocn943689508","2016012401","9780316391238 (hardback)";"0316391239 (hardback)",
"b119826926","974.71 A","City of dreams :","bl2016035995",,"9780544104655 :";"054410465X :",
"b119839258","720.9747 G","Never built New York /","ocn945950620",,"9781938922756";"1938922751",
"b119867278","973.7114 D","Frederick Douglass in Brooklyn /","ocn945948962","2016935081","9781617754852";"1617754854";"9781617756184",
"b119891797","027.4 B","Brooklyn's Central Library /","ocn956749525",,"1467124443";"9781467124447 :",
"b119894543","779.2092 B","Brooklyn hipsters /","ocn934426332",,"3735601774";"9783735601773",
"b120008488","974.7104 C","The Gilded Age in New York, 1870-1910 /","ocn943689311","2016023144","9780316353663";"0316353663",
"b12000849x","974.723 H","Growing up Brooklyn & iconic things of our time, 50's-80's /","ocn972095071",,"1512118184";"9781512118186",
"b120008506","974.71 A","Silent beaches untold stories :","ocn947075645",,"8862085001";"9788862085007 :",
"b120015456","974.723 B","Brooklyn's Renaissance :","on1000548164","2017936657","9783319501758";"3319501755",
"b12001662x","708.14723 B","Treasures of the Brooklyn Museum /","ocn960043591","2016045615","0789212781";"9780789212788",
"b120047226","B FREELY H","The house of memory :","bl2017008352",,"9780451494702 :";"0451494709 :",
"b120047251","B DI PRISCO P","The Pope of Brooklyn /","ocn958351367",,"9781945572111";"1945572116";"9781947856608";"194785660X",
"b120047305","B DUROCHER D","Leo Durocher :","2016031064","2016031064","9781632863119 :";"1632863111 :",
"b12004772x","307.3362 M","How to kill a city :","2016042410","2016042410","9781568585239";"9781568589039",
"b120097709","307.1216 Z","Zoned out! :","ocn967665689",,"0996004130";"9780996004138",
"b120154146","974.702 F","New Netherland in a nutshell :","ocn820740184","2012946591","9780988171107";"0988171104";"9780988171114 :";"0988171112",
"b120154158","709.7471 M","Making history Bushwick /","ocn960853280",,"9781532308680 :";"153230868X",
"b12015416x","388.44 G","Brooklyn elevated equipment /","ocn872392329","2016497153","9780964576599 :";"0964576597",
"b120154171","974.702 D","Dutch renaissance :","ocn302347096",,,
"b120154195","J B S938 H","Peter Stuyvesant /","ocm01677888","53010504",,
"b120154250","FIC YOUNG","Jadie Greenway /","ocm01742653","47030843",,
"b120154262","FIC SHORES","Looking forward to 1999 /","ocm00319901","70190736",,
"b120154274","973.7114 P","A discourse on William Lloyd Garrison and the anti-slavery movement :","ocm13659700",,,
