001,010,020$a,022$a,245$a
"ocm07092445","\\$a03030759",,,"The land system of the New England colonies."
"ocm00169298","\\$a45001319",,,"Tin horns and calico :"
"ocm06129881","\\$a36024079",,,"Twenty-five significant years ..."
"ocm41992112","\\$a21009060",,,"A history of the Adirondacks."
"ocn943328871","\\$a65005264",,,"Organized labor in New Jersey."
"ocm00400205","\\$a17014558",,,"A seasonal industry :"
"ocm00596878","\\$a77175610","0837162661",,"Tramps and reformers, 1873-1916 :"
"ocm00371550","\\$a60009325",,,"Jacksonian democracy and the working class:"
"cbh-000753","\\$a14004294",,,"A model housing law /"
"cbh-000754","\\$a71613945 //r84",,,"Black Americans :"
"ocn834953874","\\$a48028095",,,"The first hundred years of the New Jersey Zinc Company,"
"cbh-000755","\\$a26011991",,,"Alfred Cotton Bedford"
"ocm01983772","\\$a21003898",,,"Fifty years of glass making, 1869-1919."
"ocn456084550","\\$a27001115",,,"Window glass in the making :"
"ocm04089209","\\$a23010818",,,"New York cotton exchange, 1871-1923."
"ocm04018435","\\$a33038426",,,"My business career,"
"ocn809009732","\\$a22021811",,,"Forty years of Edison service, 1882-1922"
"ocm01557577","\\$a31019550",,,"Fifty years of steam,"
"ocm02950878","\\$a65000293",,,"New Jersey in the automobile age"
"ocm02220251","\\$a36012224",,,"The Port of New York Authority :"
"ocm07861405","\\$a14031822",,,"The commerce and other business of the waterways of the state of New York,"
"ocm05818498","\\$a49049337",,,"Proposal for development of the municipally owned waterfront and piers of New York City."
"ocm03332433","\\$a58059530",,,"Early history of the Long Island Railroad, 1834-1900."
"ocm02037495","\\$a60053229",,,"The birth of the Erie Canal."
"ocm00423212","\\$a68028999",,,"The Negro at work in New York City /"
"ocm00384558","\\$a64017858 //r852",,,"The American heritage history of World War I,"
"ocm05784099","\\$a02011208",,,"A brief description of New York,"
"ocm58657107","\\$a59059011",,,"Proceedings attending the presentation of regimental colors to the legislature,"
"ocm06139946","\\$a23015932",,,"Glimpses of an old social capital (Portsmouth, New Hampshire) as illustrated by the life of the Reverend Arthur Browne and his circle,"
"ocm01705027","\\$a62020108",,,"American Viking"
"ocm00839597","\\$a63016002",,,"Metropolitan transportation - 1980"
"ocm00382514","\\$a49007940",,,"This was America"
"ocm17619347","\\$a88006110","0810924005 (pbk.);0810915286",,"Masterpieces in the Brooklyn Museum."
"ocm17510109","\\$a87040670","0670805580 :",,"The city that never was :"
"ocm15791666","\\$a87012731","0810820307",,"The big V :"
"ocm17567962",,,,"Guide to historical resources in Queens County New York repositories."
"ocn479413673",,,,"Guide to historical resources in Richmond County (Staten Island) New York repositories."
"ocm19057302",,,,"Guide to historical resources in Kings County (Brooklyn) New York repositories."
"cbh-000756","\\$a87037510","0300043589 (pbk. : alk. paper);0300042981 (alk. paper)",,"Courbet reconsidered /"
"ocm16714028","\\$a87024149","0195052374 (alk. paper)",,"Homespun heroines and other women of distinction /"
"ocm17690042",,,,"Our memory at risk :"
"ocm16923131","\\$a87029181","0517560011 :",,"Man Ray, American artist /"
"ocm00218237","\\$a67023657 //r852",,,"New York's Greenwich Village :"
"ocm19528549","\\$a16023103",,,"The Indians of Manhattan island and vicinity,"
"ocn367573481","\\$a32000792",,,"New York, the wonder city; an illustrated story of New York with statisics and general data concerning New York's vastness, New York's people, New York's activities and New York's intimate inside life in the year 1932"
"ocm18135663","\\$a88019804","0819552119 :",,"The one in the many :"
"ocm00947858","\\$a74001721","0275437000",,"The painters' America: rural and urban life, 1810-1910"
"ocm17477021","\\$a88000570","1557870225 (pbk.)",,"Evoking a sense of place :"
"ocm01760071","\\$a05037675 //r49",,"0028-7237","The New York genealogical and biographical record."
"ocm02449059","\\$a20002281$z00002281$zsc 79004011",,"0028-7253","New York Historical Society quarterly."
"ocm01760076","\\$a20002281",,"0028-7253","The New-York Historical Society quarterly bulletin."
"ocn945079330",,,,"A guide to research collections of former members of the United States House of representatives, 1789-1987."
"ocm00911284",,,,"A walk through South Street in the afternoon of sail."
"ocm18497652","\\$a88600335",,,"Biographical directory of the United States Congress, 1774-1989 :"
"ocm17439459","\\$a88002832","0872731138 :;9780872731134",,"Cleopatra's Egypt :"
"ocm07485946","\\$a20022999",,,"George Rowland Howe, 1847 1917"
"ocm00218632","\\$a69015312",,,"Working and thinking on the waterfront"
"ocm18350922","\\$a88023063","082121733X (pbk);0821217267 :",,"Treasures of American folk art from the Abby Aldrich Rockefeller Folk Art Center /"
"ocm18221218","\\$a88020112","0940365014 :",,"Culture & comfort :"
"ocm18907083","\\$a88173850",,,"Good work well done :"
"ocm10524669",,,,"Guide to historical resources in Erie County, New York, repositories."
"ocm42686624",,,,"Guide to historical resources in New York County (Manhattan), New York, repositories."
"ocm18365799",,,,"Guide to historical resources in Bronx County, New York, repositories."
"ocn233031398",,,,"Guide to historical resources in Monroe County, New York, repositories."
"ocm11656064",,,,"Guide to historical resources in Onondaga County, New York, repositories."
"ocn480153681",,,,"Guide to historical resources in Jefferson County, New York, repositories."
"ocm16689472",,,,"Guide to historical resources in St. Lawrence County, New York, repositories."
"ocm17302274",,,,"Guide to historical resources in Columbia County, New York, repositories."
"ocm16164041",,,,"Guide to historical resources in Clinton County, New York, repositories."
"ocm01244815","\\$a31033726",,,"America on stone"
"ocm09664661",,,,"Guide to historical resources in Oneida County, New York repositories."
"ocm16163981",,,,"Guide to historical resources in Essex County, New York, repositories."
"ocm09664749",,,,"Guide to historical resources in Warren County, New York, repositories."
"ocm08328266",,,,"Guide to historical resources in Broome County, New York repositories."
"ocn989937475",,,,"Guide to historical resources in Oswego County, New York, repositories."
"ocm10246196",,,,"Guide to historical resources in Schenectady County, New York, repositories."
"ocm16066974",,,,"Guide to historical resources in Lewis County, New York, repositories."
"ocm21890484",,,,"Guide to historical resources in Herkimer County, New York repositories."
"cbh-000757",,,,"Guide to historical resources in Schoharie County, New York, repositories."
"ocm10495181",,,,"Guide to historical resources in Fulton County, New York, repositories."
"cbh-000758",,,,"Guide to historical resources in Franklin County, New York, repositories."
"ocm09664629",,,,"Guide to historical resources in Montgomery County, New York repositories."
"ocm11064135","\\$a85152768",,,"Guide to historical resources in Hamilton County, New York repositories."
"ocn503213520",,,,"Guide to historical resources in Chemung County, New York, repositories."
"ocm10795461",,,,"Guide to historical resources in Genesee County, New York repositories."
"ocm00192871","\\$a66024214","0517105233;9780517105238;0070012598;9780070012592",,"The American heritage picture history of World War II /"
"ocn709938810","\\$a01027427",,,"Argument of John Quincy Adams, before the Supreme court of the United States, in the case of the United States, Apellants, vs. Cinque, and other Africans, captured in the schooner, Amistad, by Lieut. Gedney delivered on the 24th of February and 1st of March, 1841 :"
"ocm01957562","\\$a18009919",,,"A chronicle of one hundred & fifty years :"
"cbh-000759","\\$a07042122",,,"Opening of the building of the Chamber of commerce of the state of New-York and banquet on honor of the guests who attended the dedicatory ceremonies,"
"ocm07667124","\\$a14030225",,,"Earliest arbitration records of the Chamber of commerce of the state of New York, founded in 1768."
"ocm01539923","\\$ae 12000918",,,"The Dutch schools of New Netherland and colonial New York /"
"ocm00260176","\\$a57008994 //r883",,,"America's arts and skills,"
"ocm01062463","\\$a64008864",,,"Darley,"
"ocm01260256","\\$a10007168",,,"Aims and ideals of representative American painters,"
"ocn946503314","\\$ags 10000295",,,"Birds of New York /"
"cbh-000760","\\$a23015590",,,"Abbott H. Thayer,"
"ocm07844446","\\$a50009453",,,"The Mavericks, American engravers."
"ocm00362337","\\$a33029774",,,"Bare hands and stone walls :"
"cbh-000761",,,,"Religious training of children in the school"
"ocm18424663",,"0932757022",,"A guide to historical map resources for greater New York /"
"ocm50630403","\\$a28022529",,,"The life of Philip Schaff, in part autobiographical,"
"ocm20304350",,,,"Proceedings of the Board of Education of the City of Brooklyn."
"ocm57549767","\\$a2005040941","0312317611;9780312317614",,"Praying for Gil Hodges :"
"ocn177019502","\\$a2008002160","0252033361 (cloth : alk. paper);9780252033360 (cloth : alk. paper)",,"African or American? :"
"ocm35001877","\\$a96028799","039304047X;9780393040470",,"No new jokes :"
"ocn185021540","\\$a2007051487","9781588521507 (hardcover);1588521508 (hardcover)",,"Fighting for the city :"
"ocm25246907",,,,"Universal suffrage :"
"ocm32875428",,,,"Two sermons on the amiableness of Jesus Christ. :"
"ocn166873877","\\$a2007046871","9780767920148;0767920147",,"Song of Brooklyn :"
"ocm25011106",,,,"Lucille Corcos :"
"ocm26341158",,,,"Narrative of the life of Moses Grandy :"
"ocn188535862","\\$a2008017043","9780786435371 (illustrated case binding : alk. paper);0786435372 (illustrated case binding : alk. paper)",,"The Maryland 400 in the Battle of Long Island, 1776 /"
"ocm50506641",,,,"Copper on the creek :"
"ocn173183463",,"9781423104469;1423104463",,"Iron thunder :"
"ocm04765843",,,,"Speech of Charles Francis Adams of Mass. :"
"ocm49338004",,"1586635964;9781586635961",,"New York :"
"ocm51088101","\\$a2002154489","1568983972 (alk. paper);9781568983974 (alk. paper)",,"The games we played :"
"ocn153578341","\\$a2007282595","9781416542100 (hardcover);1416542108 (hardcover)",,"1776 :"
"ocm48753950","\\$a2001059644","1555704301 (alk. paper);9781555704308 (alk. paper)",,"Genealogical research on the Web /"
"ocm12037647","\\$a04003287",,,"Colonization and civil government in the tropics :"
"ocm01418341","\\$a58000867",,,"How baseball began in Brooklyn /"
"ocm36781253",,,,"The complete guide to Brooklyn :"
"ocn225087744","\\$a2008014642","9780393064773 (hardcover);0393064778 (hardcover)",,"The Hemingses of Monticello :"
"ocn232981628",,"9781596524354;1596524359",,"Historic Photos of Brooklyn."
"ocm12713411",,,,"The dangers of our country, and the means of averting them :"
"ocn213417017",,,,"Williamsburg neighborhood history guide."
"ocn212627121","\\$a2008007403","9780061253812;0061253812",,"In the country of Brooklyn :"
"ocn176894745","\\$a2008023617","9780465002573 (alk. paper);0465002579 (alk. paper)",,"The Sun and the moon :"
"ocn221665734","\\$a2008015865","1931666288 (alk. paper);9781931666282 (alk. paper)",,"Navigating legal issues in archives /"
"ocm00882449","\\$a01014789",,,"Address delivered by Abram S. Hewitt on the occasion of the opening of the New York and Brooklyn Bridge, May 24th, 1883."
"ocm48958322","\\$a2002020736","0060099437;9780060099435",,"Crossing Brooklyn ferry /"
"ocm52964493","\\$a2004297640","0743464877;9780743464871",,"Eliot's banana /"
"ocm01026914","\\$a47005311",,,"George Washington, a twentieth century leader"
"ocm57444317",,,,"Brooklyn remembered"
"ocm01451256","\\$a72089363","0517501562;9780517501566",,"Indian life of long ago in the city of New York /"
"ocn479903260",,,,"A patriotic generation :"
"ocm26380205",,,,"Suggestions on the religious instruction of the Negroes in the southern states :"
"ocn475799397",,,,"Kansas controversy :"
"ocn832976103",,,,"The dual revolutions :"
"ocn480055506",,,,"A letter to the Hon. Samuel A. Eliot, representative in Congress from the city of Boston :"
"ocm04304280","\\$a97102039",,,"An examination of the Mosaic laws of servitude /"
"ocm02035911","\\$a11010243",,,"The views of Judge Woodward and Bishop Hopkins on Negro slavery at the South :"
"ocm70714340",,,,"Subduing freedom in Kansas :"
"ocm11173050",,,,"Americanism - slavery question :"
"ocn480150995",,,,"Kansas in 1856 :"
"ocm62939866",,,,"Speech of Hon. Jesse C. Dickey, of Pennsylvania, in the House of Representatives, in reference to the admission of California and the subject of slavery :"
"ocm80075117",,,,"The Union--Kansas and the Lecompton Constitution :"
"ocn191226018",,,,"Immediate emancipation in Missouri :"
"ocm33128071",,,,"Men and women of Brooklyn :"
"ocm41905909","\\$a11011701",,,"The slavery question in New-York :"
"ocm11438252",,,,"Speech of Hon. Thomas D. Eliot, of Mass., delivered in the House of Representatives, Tuesday, May 20, 1862, on the bills to confiscate the property of rebels and to free from servitude their slaves."
"ocn990438401",,,,"The enormity of the slave-trade :"
"ocm25449186",,,,"An examination of Mr. Bradish's answer to the interrogatories presented to him by a committee of the State Anti-slavery Society, October 1, 1838."
"ocn480441207",,,,"Preliminary report touching the condition and management of emancipated refugees :"
"ocm00905660","\\$a12003276",,,"Facts concerning the freedmen :"
"ocn191346508",,,,"The faithful missionary :"
"ocm09735003",,,,"Non-fellowship with slaveholders the duty of Christians /"
"ocn709939543",,,,"Correspondence between Nathan Appleton and John G. Palfrey intended as a supplement to Mr. Palfrey's pamphlet on slave power."
"ocm05086871","\\$a11006997",,,"Kanzas [sic] and the Constitution /"
"ocn197467584","\\$a11008734",,,"The church, the ministry, and slavery :"
"ocm13959578",,,,"Addresses on the death of Hon. Owen Lovejoy :"
"ocm28237043",,,,"The free soil question, and its importance to the voters of the free states, in an address of the 18th Ward Jeffersonian League, New York."
"ocn230916168","\\$a2008023774","9781596295001;1596295007",,"Brooklyn, historically speaking /"
"ocm04050656",,,,"Speech of Mr. Ashmun, of Mass., upon the slavery questions :"
"ocn227931085","\\$a2008039062","9780814757307 (pb : alk. paper);0814757308 (pb : alk. paper)",,"Still Jewish :"
"ocn479738708",,,,"Shall the federal government instigate a servile war? :"
"ocn479762529",,,,"Fifth annual report :"
"ocm16621299",,,,"Speech of Hon. Lucius J. Gartrell, of Georgia, in defence of slavery and the South :"
"ocn153580944","\\$a2009464052","0978689941;9780978689940",,"Green oasis in Brooklyn :"
"ocm04255806",,,,"Secession is rebellion! :"
"ocm20640691","\\$a11011698",,,"Remarks upon slavery and the slave-trade, addressed to the Hon. Henry Clay."
"ocm11888751",,,,"The Florida exiles and the war for slavery :"
"ocn479860016",,,,"Speech delivered by Hon. Thomas Hart Benton, at Jefferson, the capitol of Missouri, on the 26th May, 1849."
"ocm24959788","\\$a91899127",,,"American slavery :"
"ocm70638131","\\$a2005929712","1932022082;9781932022087",,"Changing the world :"
"ocm16222804","\\$a18004035",,,"The peril of our ship of state :"
"ocm16907362","\\$a05016549",,,"The record of George Wm. Gordon :"
"ocm05702457","\\$a04033463",,,"Kansas investigation :"
